InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,InvoiceDateParsed
536365,71053,WHITE METAL LANTERN,6,02/01/2011 11:08,5.49,17889.0,Belgium,2011-02-01 11:08:00
536365,21730,GLASS STAR FROSTED T-LIGHT HOLDER,2,01/28/2011 11:32,4.22,16943.0,Germany,2011-01-28 11:32:00
536366,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,02/05/2011 08:48,5.8,18065.0,Netherlands,2011-02-05 08:48:00
536366,22752,SET 7 BABUSHKA NESTING BOXES,4,01/13/2011 13:54,7.55,14512.0,United Kingdom,2011-01-13 13:54:00
536366,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,03/22/2011 17:56,4.03,17075.0,Germany,2011-03-22 17:56:00
536367,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,01/30/2011 09:24,4.03,17553.0,France,2011-01-30 09:24:00
536367,84029E,RED WOOLLY HOTTIE WHITE HEART,12,03/24/2011 09:38,7.66,16721.0,Belgium,2011-03-24 09:38:00
536367,84029E,RED WOOLLY HOTTIE WHITE HEART,12,03/30/2011 16:14,6.03,12804.0,Germany,2011-03-30 16:14:00
536368,21730,GLASS STAR FROSTED T-LIGHT HOLDER,2,03/14/2011 13:13,3.56,15587.0,Belgium,2011-03-14 13:13:00
536368,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,02/03/2011 17:27,5.59,15617.0,France,2011-02-03 17:27:00
536368,22632,HAND WARMER RED POLKA DOT,24,01/07/2011 09:09,3.57,17920.0,Netherlands,2011-01-07 09:09:00
536369,84879,ASSORTED COLOUR BIRD ORNAMENT,6,02/02/2011 16:55,3.57,17918.0,Belgium,2011-02-02 16:55:00
536369,84029E,RED WOOLLY HOTTIE WHITE HEART,3,01/15/2011 12:27,4.98,12372.0,Belgium,2011-01-15 12:27:00
536369,22632,HAND WARMER RED POLKA DOT,6,01/14/2011 18:19,0.67,16504.0,Spain,2011-01-14 18:19:00
536370,84406B,CREAM CUPID HEARTS COAT HANGER,24,03/09/2011 08:38,1.05,12505.0,United Kingdom,2011-03-09 08:38:00
536370,84029E,RED WOOLLY HOTTIE WHITE HEART,2,03/14/2011 09:05,3.38,12912.0,Spain,2011-03-14 09:05:00
536370,22633,HAND WARMER UNION JACK,2,02/03/2011 16:55,2.47,14081.0,Spain,2011-02-03 16:55:00
536371,84029E,RED WOOLLY HOTTIE WHITE HEART,12,03/25/2011 13:28,5.13,16044.0,United Kingdom,2011-03-25 13:28:00
536371,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,03/17/2011 11:00,2.68,17515.0,United Kingdom,2011-03-17 11:00:00
536371,22752,SET 7 BABUSHKA NESTING BOXES,4,02/05/2011 18:31,1.68,13429.0,Belgium,2011-02-05 18:31:00
536372,22633,HAND WARMER UNION JACK,4,02/22/2011 11:06,7.43,15877.0,France,2011-02-22 11:06:00
536372,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,01/13/2011 08:25,4.05,13241.0,Germany,2011-01-13 08:25:00
536372,84406B,CREAM CUPID HEARTS COAT HANGER,3,03/01/2011 11:55,4.64,15976.0,Spain,2011-03-01 11:55:00
536373,22632,HAND WARMER RED POLKA DOT,1,01/31/2011 10:26,1.65,14097.0,Netherlands,2011-01-31 10:26:00
