TransactionDate,Country,Revenue
2011-01-01,France,7.74
2011-01-01,United Kingdom,63.96
2011-01-02,Belgium,20.75
2011-01-02,Germany,50.78
2011-01-03,Belgium,11.62
2011-01-04,Germany,5.72
2011-01-04,Netherlands,1.69
2011-01-04,Spain,1.46
2011-01-05,France,31.08
2011-01-05,Germany,4.24
2011-01-05,Netherlands,17.94
2011-01-06,Belgium,5.86
2011-01-06,Germany,8.36
2011-01-06,Spain,31.5
2011-01-06,United Kingdom,85.92
2011-01-07,Netherlands,113.63
2011-01-07,Spain,30.240000000000002
2011-01-07,United Kingdom,73.67999999999999
2011-01-08,Belgium,23.4
2011-01-08,France,65.03999999999999
2011-01-09,Belgium,23.37
2011-01-09,France,53.519999999999996
2011-01-09,Germany,88.92
2011-01-10,France,7.84
2011-01-10,Germany,239.76000000000002
2011-01-10,Netherlands,59.760000000000005
2011-01-10,Spain,137.94
2011-01-10,United Kingdom,108.72
2011-01-11,France,214.45999999999998
2011-01-11,Germany,83.56
2011-01-11,Spain,14.12
2011-01-11,United Kingdom,97.08
2011-01-12,Belgium,10.53
2011-01-12,France,4.609999999999999
2011-01-12,Spain,70.56
2011-01-13,France,85.19999999999999
2011-01-13,Germany,72.91999999999999
2011-01-13,Netherlands,26.759999999999998
2011-01-13,United Kingdom,30.2
2011-01-14,Germany,75.14
2011-01-14,Spain,37.44
2011-01-14,United Kingdom,11.06
2011-01-15,Belgium,14.940000000000001
2011-01-15,Netherlands,27.380000000000003
2011-01-15,United Kingdom,4.28
2011-01-16,Belgium,23.96
2011-01-16,Germany,50.68
2011-01-16,Spain,22.54
2011-01-17,France,19.58
2011-01-17,Germany,99.24
2011-01-17,Netherlands,59.64
2011-01-17,Spain,6.79
2011-01-17,United Kingdom,13.8
2011-01-18,Belgium,17.12
2011-01-18,France,17.580000000000002
2011-01-18,Germany,38.480000000000004
2011-01-18,Spain,23.28
2011-01-18,United Kingdom,13.29
2011-01-19,Belgium,37.32
2011-01-19,Germany,8.84
2011-01-19,Netherlands,195.92000000000002
2011-01-19,United Kingdom,14.549999999999999
2011-01-20,Belgium,103.68
2011-01-20,France,24.299999999999997
2011-01-20,Germany,19.919999999999998
2011-01-20,Netherlands,59.04
2011-01-20,Spain,105.04000000000002
2011-01-20,United Kingdom,124.08000000000001
2011-01-21,Belgium,32.83
2011-01-22,Belgium,17.56
2011-01-22,France,21.63
2011-01-22,Germany,164.64000000000001
2011-01-22,Spain,18.6
2011-01-23,Belgium,3.92
2011-01-23,Germany,58.800000000000004
2011-01-23,United Kingdom,56.760000000000005
2011-01-24,Belgium,38.519999999999996
2011-01-24,United Kingdom,15.14
2011-01-25,Germany,70.44
2011-01-25,Netherlands,6.4
2011-01-25,Spain,31.32
2011-01-25,United Kingdom,96.59
2011-01-26,France,16.38
2011-01-26,Netherlands,10.43
2011-01-27,Belgium,44.400000000000006
2011-01-27,Netherlands,13.24
2011-01-27,Spain,4.04
2011-01-28,Germany,17.229999999999997
2011-01-29,Belgium,102.43
2011-01-29,Netherlands,23.82
2011-01-29,Spain,110.16
2011-01-29,United Kingdom,101.76
2011-01-30,Belgium,29.52
2011-01-30,France,93.55
2011-01-30,Netherlands,62.760000000000005
2011-01-31,Belgium,5.76
2011-01-31,France,27.619999999999997
2011-01-31,Germany,96.16
2011-01-31,Netherlands,110.85
2011-01-31,Spain,16.48
2011-01-31,United Kingdom,17.84
2011-02-01,Belgium,39.96
2011-02-01,France,69.84
2011-02-01,Germany,4.1
2011-02-01,Netherlands,231.59999999999997
2011-02-02,Belgium,121.02000000000001
2011-02-02,France,5.4
2011-02-02,Spain,9.68
2011-02-02,United Kingdom,3.08
2011-02-03,Belgium,169.44
2011-02-03,France,85.71
2011-02-03,Germany,10.47
2011-02-03,Spain,38.900000000000006
2011-02-03,United Kingdom,53.64
2011-02-04,Belgium,13.28
2011-02-04,France,21.09
2011-02-04,Germany,15.04
2011-02-04,United Kingdom,29.04
2011-02-05,Belgium,18.2
2011-02-05,Netherlands,46.8
2011-02-05,Spain,9.25
2011-02-05,United Kingdom,12.059999999999999
2011-02-06,Belgium,181.5
2011-02-06,France,33.16
2011-02-06,Germany,103.74000000000001
2011-02-06,Netherlands,19.830000000000002
2011-02-06,Spain,39.089999999999996
2011-02-07,Belgium,140.10000000000002
2011-02-07,Netherlands,99.6
2011-02-07,Spain,4.03
2011-02-07,United Kingdom,57.06
2011-02-08,Belgium,8.55
2011-02-08,France,30.48
2011-02-08,Spain,32.76
2011-02-09,Belgium,9.92
2011-02-09,France,147.60000000000002
2011-02-09,Netherlands,54.480000000000004
2011-02-09,United Kingdom,65.4
2011-02-10,Belgium,27.900000000000002
2011-02-10,France,15.450000000000001
2011-02-10,United Kingdom,20.2
2011-02-11,Belgium,22.72
2011-02-11,France,34.62
2011-02-11,Netherlands,42.660000000000004
2011-02-11,Spain,129.87
2011-02-12,Belgium,6.45
2011-02-12,France,14.43
