Month,Category,Revenue
2011-01,HAND,1161.19
2011-01,WHITE,688.86
2011-01,RED,631.17
2011-01,KNITTED,558.09
2011-01,SET,538.56
2011-01,GLASS,432.14
2011-01,ASSORTED,333.42
2011-01,CREAM,314.82
2011-01,UNKNOWN_ITEM,232.68
2011-02,HAND,1298.91
2011-02,WHITE,650.46
2011-02,GLASS,619.36
2011-02,SET,552.78
2011-02,ASSORTED,472.15999999999997
2011-02,CREAM,408.46999999999997
2011-02,KNITTED,381.37
2011-02,RED,219.53000000000003
2011-02,UNKNOWN_ITEM,208.34
2011-03,WHITE,1394.56
2011-03,HAND,1132.78
2011-03,KNITTED,774.77
2011-03,GLASS,765.6800000000001
2011-03,SET,659.26
2011-03,RED,525.5
2011-03,ASSORTED,481.48
2011-03,CREAM,377.02
2011-03,UNKNOWN_ITEM,64.56
2011-04,HAND,14.820000000000004
