Country,Revenue
France,7.74
United Kingdom,63.96
Belgium,20.75
Germany,50.78
Belgium,11.62
Germany,5.72
Netherlands,1.69
Spain,1.46
France,31.08
Germany,4.24
Netherlands,17.94
Belgium,5.86
Germany,8.36
Spain,31.5
United Kingdom,85.92
Netherlands,113.63
Spain,30.240000000000002
United Kingdom,73.67999999999999
Belgium,23.4
France,65.03999999999999
Belgium,23.37
France,53.519999999999996
Germany,88.92
France,7.84
Germany,239.76000000000002
Netherlands,59.760000000000005
Spain,137.94
United Kingdom,108.72
France,214.45999999999998
Germany,83.56
Spain,14.12
United Kingdom,97.08
Belgium,10.53
France,4.609999999999999
Spain,70.56
France,85.19999999999999
Germany,72.91999999999999
Netherlands,26.759999999999998
United Kingdom,30.2
Germany,75.14
Spain,37.44
United Kingdom,11.06
Belgium,14.940000000000001
Netherlands,27.380000000000003
United Kingdom,4.28
Belgium,23.96
Germany,50.68
Spain,22.54
France,19.58
Germany,99.24
Netherlands,59.64
Spain,6.79
United Kingdom,13.8
Belgium,17.12
France,17.580000000000002
Germany,38.480000000000004
Spain,23.28
United Kingdom,13.29
Belgium,37.32
Germany,8.84
Netherlands,195.92000000000002
United Kingdom,14.549999999999999
Belgium,103.68
France,24.299999999999997
Germany,19.919999999999998
Netherlands,59.04
Spain,105.04000000000002
United Kingdom,124.08000000000001
Belgium,32.83
Belgium,17.56
France,21.63
Germany,164.64000000000001
Spain,18.6
Belgium,3.92
Germany,58.800000000000004
United Kingdom,56.760000000000005
Belgium,38.519999999999996
United Kingdom,15.14
Germany,70.44
Netherlands,6.4
Spain,31.32
United Kingdom,96.59
France,16.38
Netherlands,10.43
Belgium,44.400000000000006
Netherlands,13.24
Spain,4.04
Germany,17.229999999999997
Belgium,102.43
Netherlands,23.82
Spain,110.16
United Kingdom,101.76
Belgium,29.52
France,93.55
Netherlands,62.760000000000005
Belgium,5.76
France,27.619999999999997
Germany,96.16
Netherlands,110.85
Spain,16.48
United Kingdom,17.84
Belgium,39.96
France,69.84
Germany,4.1
Netherlands,231.59999999999997
Belgium,121.02000000000001
France,5.4
Spain,9.68
United Kingdom,3.08
Belgium,169.44
France,85.71
Germany,10.47
Spain,38.900000000000006
United Kingdom,53.64
Belgium,13.28
France,21.09
Germany,15.04
United Kingdom,29.04
Belgium,18.2
Netherlands,46.8
Spain,9.25
United Kingdom,12.059999999999999
Belgium,181.5
France,33.16
Germany,103.74000000000001
Netherlands,19.830000000000002
Spain,39.089999999999996
Belgium,140.10000000000002
Netherlands,99.6
Spain,4.03
United Kingdom,57.06
Belgium,8.55
France,30.48
Spain,32.76
Belgium,9.92
France,147.60000000000002
Netherlands,54.480000000000004
United Kingdom,65.4
Belgium,27.900000000000002
France,15.450000000000001
United Kingdom,20.2
Belgium,22.72
France,34.62
Netherlands,42.660000000000004
Spain,129.87
Belgium,6.45
France,14.43
Netherlands,63.239999999999995
Spain,48.0
United Kingdom,132.72
France,30.54
Spain,18.39
Belgium,108.72
France,20.44
Germany,67.16
Spain,11.77
Belgium,7.56
France,14.79
Netherlands,113.52000000000001
Belgium,25.65
Germany,-10.9
Netherlands,5.62
Spain,10.6
United Kingdom,107.09
France,15.48
Germany,122.16
Netherlands,44.64
Spain,32.339999999999996
United Kingdom,15.32
France,4.41
Netherlands,34.21
United Kingdom,3.3
Belgium,56.64
Germany,9.16
Netherlands,12.1
Spain,86.88
United Kingdom,21.36
Belgium,69.6
Germany,2.34
Spain,219.60000000000002
Belgium,10.44
France,39.64
Netherlands,12.16
Spain,3.14
United Kingdom,23.68
France,9.52
Germany,12.88
Netherlands,18.86
United Kingdom,25.04
Belgium,17.009999999999998
France,17.580000000000002
Germany,61.08
Netherlands,40.08
Spain,2.99
France,1.5
United Kingdom,25.36
Belgium,48.12
France,24.24
Germany,123.59999999999998
Spain,42.72
United Kingdom,19.68
Netherlands,79.74
Spain,13.96
United Kingdom,9.38
Belgium,16.47
France,82.02000000000001
Germany,67.32000000000001
Spain,89.52
Belgium,29.659999999999997
Spain,13.919999999999998
United Kingdom,59.89
Belgium,5.87
France,51.42
Germany,18.76
Netherlands,12.0
United Kingdom,89.4
France,38.47
Germany,202.32
Netherlands,36.480000000000004
Spain,21.36
United Kingdom,25.64
Belgium,63.51
