InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,InvoiceDateParsed,TransactionDate,Year,Month,Revenue,IsReturn
536365,71053,WHITE METAL LANTERN,6,2011-02-01 11:08:00,5.49,17889,Belgium,2011-02-01 11:08:00,2011-02-01,2011,2011-02,32.94,False
536365,21730,GLASS STAR FROSTED T-LIGHT HOLDER,2,2011-01-28 11:32:00,4.22,16943,Germany,2011-01-28 11:32:00,2011-01-28,2011,2011-01,8.44,False
536366,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2011-02-05 08:48:00,5.8,18065,Netherlands,2011-02-05 08:48:00,2011-02-05,2011,2011-02,34.8,False
536366,22752,SET 7 BABUSHKA NESTING BOXES,4,2011-01-13 13:54:00,7.55,14512,United Kingdom,2011-01-13 13:54:00,2011-01-13,2011,2011-01,30.2,False
536366,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2011-03-22 17:56:00,4.03,17075,Germany,2011-03-22 17:56:00,2011-03-22,2011,2011-03,24.18,False
536367,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,2011-01-30 09:24:00,4.03,17553,France,2011-01-30 09:24:00,2011-01-30,2011,2011-01,4.03,False
536367,84029E,RED WOOLLY HOTTIE WHITE HEART,12,2011-03-24 09:38:00,7.66,16721,Belgium,2011-03-24 09:38:00,2011-03-24,2011,2011-03,91.92,False
536367,84029E,RED WOOLLY HOTTIE WHITE HEART,12,2011-03-30 16:14:00,6.03,12804,Germany,2011-03-30 16:14:00,2011-03-30,2011,2011-03,72.36,False
536368,21730,GLASS STAR FROSTED T-LIGHT HOLDER,2,2011-03-14 13:13:00,3.56,15587,Belgium,2011-03-14 13:13:00,2011-03-14,2011,2011-03,7.12,False
536368,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,2011-02-03 17:27:00,5.59,15617,France,2011-02-03 17:27:00,2011-02-03,2011,2011-02,33.54,False
536368,22632,HAND WARMER RED POLKA DOT,24,2011-01-07 09:09:00,3.57,17920,Netherlands,2011-01-07 09:09:00,2011-01-07,2011,2011-01,85.67999999999999,False
536369,84879,ASSORTED COLOUR BIRD ORNAMENT,6,2011-02-02 16:55:00,3.57,17918,Belgium,2011-02-02 16:55:00,2011-02-02,2011,2011-02,21.419999999999998,False
536369,84029E,RED WOOLLY HOTTIE WHITE HEART,3,2011-01-15 12:27:00,4.98,12372,Belgium,2011-01-15 12:27:00,2011-01-15,2011,2011-01,14.940000000000001,False
536369,22632,HAND WARMER RED POLKA DOT,6,2011-01-14 18:19:00,0.67,16504,Spain,2011-01-14 18:19:00,2011-01-14,2011,2011-01,4.0200000000000005,False
536370,84406B,CREAM CUPID HEARTS COAT HANGER,24,2011-03-09 08:38:00,1.05,12505,United Kingdom,2011-03-09 08:38:00,2011-03-09,2011,2011-03,25.200000000000003,False
536370,84029E,RED WOOLLY HOTTIE WHITE HEART,2,2011-03-14 09:05:00,3.38,12912,Spain,2011-03-14 09:05:00,2011-03-14,2011,2011-03,6.76,False
