customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-0000,Male,0,Yes,Yes,50,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,50.98,2552.87,No
7590-0001,Male,0,No,Yes,56,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,38.44,2128.40,No
7590-0002,Female,0,No,Yes,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),27.31,1458.53,No
7590-0003,Male,0,No,Yes,41,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),67.71,2805.57,No
7590-0004,Male,0,No,Yes,11,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,19.42,161.12,No
7590-0005,Male,0,Yes,No,58,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,38.84,2292.57,Yes
7590-0006,Male,0,No,Yes,4,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,79.94,359.63,No
7590-0007,Male,0,No,Yes,33,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),91.99,3090.31,Yes
7590-0008,Female,0,Yes,Yes,20,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),18.0,337.68,No
7590-0009,Male,1,No,Yes,1,Yes,Yes,DSL,No,No,Yes,No,Yes,No,One year,No,Bank transfer (automatic),82.52,122.62,Yes
7590-0010,Male,0,No,Yes,4,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),66.49,249.93,Yes
7590-0011,Male,0,Yes,Yes,37,No,No phone service,Fiber optic,Yes,No,No,No,No,No,One year,No,Electronic check,61.56,2257.60,No
7590-0012,Male,0,No,No,53,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),65.44,3431.60,Yes
7590-0013,Male,0,No,No,47,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,88.83,4201.81,Yes
7590-0014,Male,0,No,No,66,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,43.99,2916.72,No
