customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,label,is_new_customer,monthly_charge_band,avg_monthly_spend_gap
7590-0637,Male,0,No,Yes,29,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,57.62,1654.64,No,0,0,Medium,-16.339999999999918
7590-0220,Male,0,No,Yes,62,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,84.83,5262.8,No,0,0,High,3.3400000000001455
7590-0428,Male,0,Yes,Yes,51,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Two year,No,Credit card (automatic),66.47,3358.29,Yes,1,0,Medium,-31.679999999999836
7590-0326,Male,0,Yes,Yes,51,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No,One year,No,Credit card (automatic),71.67,3664.12,Yes,1,0,High,8.949999999999818
7590-0072,Female,0,Yes,Yes,17,No,No phone service,Fiber optic,Yes,No,No,No,No,No,One year,No,Mailed check,63.38,1052.09,Yes,1,0,Medium,-25.37000000000012
7590-0516,Female,0,No,Yes,20,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,One year,No,Bank transfer (automatic),50.95,1051.25,No,0,0,Medium,32.25
7590-0181,Male,1,Yes,Yes,5,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),71.75,370.15,Yes,1,1,High,11.399999999999977
7590-0131,Male,0,Yes,Yes,70,No,No phone service,DSL,Yes,No,Yes,No,No,No,One year,Yes,Credit card (automatic),43.66,3035.2,No,0,0,Medium,-21.0
7590-0231,Male,0,No,Yes,30,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),46.52,1376.34,No,0,0,Medium,-19.26000000000022
7590-0277,Male,0,Yes,Yes,48,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,23.57,1089.56,No,0,0,Low,-41.80000000000018
7590-0607,Female,0,Yes,No,72,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,21.84,1584.56,Yes,1,0,Low,12.079999999999927
7590-0281,Female,0,Yes,Yes,66,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.0,1211.84,No,0,0,Low,23.839999999999918
7590-0249,Female,0,No,Yes,2,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,77.14,109.61,No,0,1,High,-44.67
7590-0081,Male,0,No,Yes,51,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.56,1013.39,Yes,1,0,Low,-35.16999999999996
7590-0615,Female,0,No,Yes,72,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,76.29,5466.99,Yes,1,0,High,-25.890000000000327
7590-0247,Male,0,No,Yes,20,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,No,Electronic check,79.63,,No,0,0,High,-1512.9699999999998
7590-0363,Male,1,Yes,Yes,32,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.0,576.86,No,0,0,Low,0.8600000000000136
7590-0643,Male,0,Yes,Yes,21,No,No phone service,DSL,No,No,No,Yes,No,Yes,One year,No,Electronic check,37.06,811.46,No,0,0,Medium,33.200000000000045
7590-0069,Male,0,Yes,Yes,13,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),47.12,603.17,Yes,1,0,Medium,-9.389999999999986
7590-0010,Male,0,No,Yes,4,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),66.49,249.93,Yes,1,1,Medium,-16.029999999999973
7590-0341,Male,1,No,Yes,46,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,79.63,3658.05,No,0,0,High,-4.9299999999993815
7590-0063,Female,0,Yes,No,29,No,No phone service,DSL,No,No,Yes,No,Yes,No,Two year,No,Electronic check,49.87,1442.46,No,0,0,Medium,-3.769999999999982
7590-0464,Female,0,Yes,Yes,22,No,No phone service,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Electronic check,70.57,1523.5,Yes,1,0,High,-29.039999999999964
7590-0054,Male,0,Yes,No,22,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,23.85,538.16,No,0,0,Low,13.459999999999923
7590-0534,Male,0,No,Yes,64,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),52.34,3324.66,No,0,0,Medium,-25.100000000000364
7590-0517,Male,0,No,Yes,70,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Two year,No,Mailed check,61.34,4247.14,No,0,0,Medium,-46.659999999999854
7590-0177,Female,1,Yes,No,62,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),67.83,4199.59,No,0,0,Medium,-5.869999999999891
7590-0299,Male,0,No,No,21,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.0,367.65,No,0,0,Low,-10.350000000000023
7590-0594,Female,0,Yes,Yes,7,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.0,70.94,No,0,0,Low,-55.06
7590-0031,Male,0,No,Yes,70,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.0,1257.25,No,0,0,Low,-2.75
7590-0490,Female,0,Yes,Yes,35,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),67.8,2364.26,No,0,0,Medium,-8.739999999999782
7590-0055,Female,0,No,Yes,70,No,No phone service,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),61.79,4277.64,No,0,0,Medium,-47.659999999999854
7590-0174,Male,0,No,Yes,34,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,40.62,1378.66,No,0,0,Medium,-2.4199999999998454
7590-0479,Male,0,No,No,27,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),65.61,1750.76,No,0,0,Medium,-20.710000000000036
7590-0550,Female,0,Yes,Yes,56,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Two year,No,Mailed check,70.43,3922.74,No,0,0,High,-21.3400000000006
7590-0209,Female,1,No,No,49,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,74.51,3671.26,Yes,1,0,High,20.269999999999982
7590-0110,Male,0,No,Yes,40,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Credit card (automatic),67.75,2687.66,No,0,0,Medium,-22.340000000000146
7590-0511,Female,0,Yes,Yes,71,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,78.35,5556.72,No,0,0,High,-6.1299999999992
7590-0210,Male,1,Yes,Yes,57,No,No phone service,Fiber optic,No,No,No,No,No,Yes,One year,No,Electronic check,57.93,3249.01,Yes,1,0,Medium,-52.999999999999545
7590-0158,Male,0,Yes,Yes,54,No,No phone service,DSL,No,Yes,No,No,Yes,No,Two year,No,Credit card (automatic),56.49,3069.88,No,0,0,Medium,19.420000000000073
7590-0165,Female,0,No,Yes,19,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),41.87,796.52,No,0,0,Medium,0.9900000000000091
7590-0362,Female,0,No,Yes,36,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,46.62,1670.52,No,0,0,Medium,-7.7999999999999545
7590-0523,Male,0,No,Yes,39,No,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),75.63,2936.45,No,0,0,High,-13.11999999999989
7590-0076,Female,0,No,No,33,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),18.0,578.51,No,0,0,Low,-15.490000000000009
7590-0446,Female,0,Yes,Yes,0,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.0,,No,0,1,Low,0.0
7590-0002,Female,0,No,Yes,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),27.31,1458.53,No,0,0,Low,-16.210000000000036
7590-0377,Female,0,Yes,No,51,No,No phone service,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,52.36,2651.92,No,0,0,Medium,-18.440000000000055
7590-0271,Female,0,Yes,Yes,54,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.0,902.27,No,0,0,Low,-69.73000000000002
7590-0292,Female,0,No,No,31,No,No phone service,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,66.21,2021.9,No,0,0,Medium,-30.609999999999673
7590-0449,Female,1,No,No,40,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),74.4,2997.75,No,0,0,High,21.75
7590-0645,Female,0,No,Yes,20,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),88.19,1725.19,No,0,0,High,-38.6099999999999
7590-0090,Male,0,Yes,Yes,71,No,No phone service,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,86.3,,No,0,0,High,-6041.0
7590-0497,Male,0,Yes,No,5,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),60.2,269.92,Yes,1,1,Medium,-31.079999999999984
7590-0318,Male,1,Yes,Yes,47,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Electronic check,57.38,2697.67,No,0,0,Medium,0.8099999999999454
7590-0030,Female,0,No,Yes,47,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,58.26,2733.9,No,0,0,Medium,-4.319999999999709
7590-0328,Male,0,Yes,Yes,47,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),36.28,1726.35,No,0,0,Medium,21.189999999999827
7590-0176,Female,0,Yes,Yes,26,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,90.96,2347.03,Yes,1,0,High,-17.929999999999836
7590-0431,Female,1,Yes,No,60,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,54.41,3220.53,No,0,0,Medium,-44.06999999999971
7590-0044,Male,0,No,Yes,34,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,55.55,1899.51,No,0,0,Medium,10.810000000000173
7590-0264,Male,0,Yes,Yes,9,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,73.0,636.79,No,0,0,High,-20.210000000000036
7590-0078,Female,0,Yes,Yes,69,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),69.23,4745.52,No,0,0,Medium,-31.349999999999454
7590-0447,Female,0,Yes,No,9,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Mailed check,96.89,900.13,Yes,1,0,High,28.120000000000005
7590-0101,Female,1,No,Yes,5,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,Yes,Mailed check,80.54,385.79,No,0,1,High,-16.910000000000025
7590-0310,Male,0,Yes,No,51,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),18.0,922.67,No,0,0,Low,4.669999999999959
