customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,is_new_customer,monthly_charge_band,avg_monthly_spend_gap
7590-0001,Male,0,No,Yes,54,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,42.28,2128.4,No,0,Medium,-24.23999999999978
7590-0004,Male,0,No,Yes,9,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,21.36,161.12,No,0,Low,-52.5
7590-0013,Male,0,No,No,45,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,97.71,4201.81,Yes,0,High,26.800000000000182
7590-0014,Male,0,No,No,64,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,48.39,2916.72,No,0,Medium,13.379999999999654
7590-0020,Male,0,Yes,Yes,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),21.65,169.83,Yes,0,Low,-7.289999999999992
7590-0021,Male,1,Yes,Yes,17,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.8,318.61,Yes,0,Low,-23.389999999999986
7590-0027,Female,1,Yes,Yes,61,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),88.62,5084.34,No,0,High,9.0600000000004
7590-0032,Female,1,No,Yes,56,No,No phone service,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),64.76,3400.05,No,0,Medium,-14.409999999999854
7590-0034,Female,0,Yes,No,41,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.8,788.81,No,0,Low,14.809999999999945
7590-0035,Male,0,No,Yes,28,No,No phone service,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),80.33,2190.85,No,0,High,-0.0500000000001819
7590-0040,Female,0,Yes,Yes,4,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,81.66,437.03,Yes,1,High,-8.409999999999968
7590-0047,Male,0,Yes,Yes,8,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Electronic check,79.27,724.07,No,0,High,3.4700000000000273
7590-0052,Female,0,No,Yes,49,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),42.98,1986.63,No,0,Medium,-5.939999999999827
7590-0058,Female,0,Yes,Yes,48,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,58.75,2664.24,No,0,Medium,-6.260000000000218
7590-0062,Male,0,No,Yes,26,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),68.67,1718.62,No,0,Medium,-29.420000000000073
7590-0064,Female,0,Yes,Yes,2,No,No phone service,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),76.89,265.18,No,1,Medium,-14.420000000000016
7590-0071,Female,0,Yes,Yes,19,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),73.11,1399.58,Yes,0,Medium,3.9200000000000728
7590-0080,Female,1,No,Yes,39,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,57.24,2164.0,Yes,0,Medium,30.360000000000127
